city,address,x,y,technology,parsedAddress,parsedLon,parsedLat
Київ,"вулиця Микільсько-Слобідська, 4Б","30,5892971","50,4560708",,"4-Б, Микільсько-Слобідська вулиця, Лівобережний масив, Дніпровський район, Київ, 02002, Україна",30.589344067366177,50.45607125
Київ,"вулиця Микільсько-Слобідська, 6/2","30,5877276","50,4550881",,"6/2, Микільсько-Слобідська вулиця, ЖК ""Русанівська Гавань"", Лівобережний масив, Дніпровський район, Київ, 02005, Україна",30.587495653614965,50.4554117
Київ,"вулиця Микільсько-Слобідська, 4","30,5911244","50,4551418",,"4, Микільсько-Слобідська вулиця, Лівобережний масив, Дніпровський район, Київ, 02002, Україна",30.589531683691984,50.45532635
Київ,"вулиця Митрополита Андрея Шептицького, 1/2","30,591558","50,4568647",,"1/2, вулиця Митрополита Андрея Шептицького, Хутір, Лівобережний масив, Дніпровський район, Київ, 02002, Україна",30.591992445481253,50.456369949999996
Київ,"вулиця Митрополита Андрея Шептицького, 1А","30,5912177","50,4561732",,"1-А, вулиця Митрополита Андрея Шептицького, Хутір, Лівобережний масив, Дніпровський район, Київ, 02002, Україна",30.591276817177146,50.4561621
Київ,"вулиця Митрополита Андрея Шептицького, 3А","30,5887312","50,4570036",,"3-А, вулиця Митрополита Андрея Шептицького, Хутір, Лівобережний масив, Дніпровський район, Київ, 02005, Україна",30.588701481986327,50.4569981
Київ,"вулиця Митрополита Андрея Шептицького, 3Б","30,5878883","50,4567412",,"3-Б, вулиця Митрополита Андрея Шептицького, Хутір, Лівобережний масив, Дніпровський район, Київ, 02005, Україна",30.587986285953917,50.456729
Київ,"вулиця Митрополита Андрея Шептицького, 3В","30,5870314","50,456448",,"3-В, вулиця Митрополита Андрея Шептицького, Хутір, Лівобережний масив, Дніпровський район, Київ, 02005, Україна",30.587157841363677,50.45640765
Київ,"вулиця Митрополита Андрея Шептицького, 3Г","30,5861828","50,4561277",,"3-Г, вулиця Митрополита Андрея Шептицького, Хутір, Лівобережний масив, Дніпровський район, Київ, 02005, Україна",30.586221166653765,50.456255999999996
Київ,"вулиця Митрополита Андрея Шептицького, 24","30,5917635","50,4587603",,"24, вулиця Митрополита Андрея Шептицького, Хутір, Лівобережний масив, Дніпровський район, Київ, 02002, Україна",30.592420131522097,50.45807545
Київ,"вулиця Митрополита Андрея Шептицького, 24В","30,5928318","50,4588603",,"24-В, вулиця Митрополита Андрея Шептицького, Хутір, Лівобережний масив, Дніпровський район, Київ, 02002, Україна",30.592828857785285,50.45880775
Київ,"вулиця Микільсько-Слобідська, 1А","30,5931124","50,4545518",,"1-А, Микільсько-Слобідська вулиця, Лівобережний масив, Дніпровський район, Київ, 02002, Україна",30.593371205127763,50.45466055
Київ,"вулиця Микільсько-Слобідська, 2Б","30,5920319","50,4542398",,"2-Б, Микільсько-Слобідська вулиця, Лівобережний масив, Дніпровський район, Київ, 02002, Україна",30.589830947837633,50.4543798
Київ,"вулиця Микільсько-Слобідська, 2В","30,5909491","50,4539186",,"2-В, Микільсько-Слобідська вулиця, Лівобережний масив, Дніпровський район, Київ, 02002, Україна",30.590864334127765,50.453844450000005
Київ,"вулиця Микільсько-Слобідська, 4В","30,5892321","50,4534396",,"4-В, Микільсько-Слобідська вулиця, Лівобережний масив, Дніпровський район, Київ, 02002, Україна",30.58944136097286,50.4534907
Київ,"вулиця Микільсько-Слобідська, 4Г","30,5883028","50,4532354",,"4-Г, Микільсько-Слобідська вулиця, Лівобережний масив, Дніпровський район, Київ, 02002, Україна",30.58843263616248,50.45324415
Київ,"вулиця Микільсько-Слобідська, 4Д","30,5877034","50,4537919",,"4-Д, Микільсько-Слобідська вулиця, ЖК ""Русанівська Гавань"", Лівобережний масив, Дніпровський район, Київ, 02005, Україна",30.587789963949504,50.45381955
